,timestamp,item,quantity,Category
0,3/1/2021 7:00,loaves,10,bakery
1,3/1/2021 8:00,hand soap,25,personal care
2,3/1/2021 8:00,oranges,28,fruits
3,3/1/2021 8:00,hand soap,16,personal care
4,3/1/2021 8:00,toilet paper,17,toileteries
5,3/1/2021 10:00,chicken,15,meat
6,3/1/2021 10:00,coffee,21,beverages
7,3/1/2021 10:00,beans,1,canned food
8,3/1/2021 10:00,hand soap,21,personal care
9,3/1/2021 10:00,oranges,25,fruits
10,3/1/2021 10:00,cookies,4,bakery
11,3/1/2021 10:00,loaves,5,bakery
12,3/1/2021 11:00,coffee,5,beverages
13,3/1/2021 11:00,beans,14,canned food
14,3/1/2021 11:00,buns,26,bakery
15,3/1/2021 11:00,paper towels,16,toileteries
16,3/1/2021 11:00,beans,4,canned food
17,3/1/2021 12:00,cookies,4,bakery
18,3/1/2021 12:00,shaving cream,7,personal care
19,3/1/2021 12:00,oranges,16,fruits
20,3/1/2021 12:00,chicken,8,meat
21,3/1/2021 12:00,bananas,11,fruits
22,3/1/2021 12:00,shaving cream,30,personal care
23,3/1/2021 12:00,pork,15,meat
24,3/1/2021 12:00,tilapia,13,meat
25,3/1/2021 12:00,ketchup,26,canned food
26,3/1/2021 12:00,shaving cream,1,personal care
27,3/1/2021 13:00,chicken,19,meat
28,3/1/2021 13:00,loaves,9,bakery
29,3/1/2021 13:00,beans,5,canned food
30,3/1/2021 13:00,cupcakes,7,bakery
31,3/1/2021 13:00,all purpose,22,detergents
32,3/1/2021 13:00,loaves,10,bakery
33,3/1/2021 13:00,dish soap,11,detergents
34,3/1/2021 14:00,toilet paper,14,toileteries
35,3/1/2021 14:00,beef,3,meat
36,3/1/2021 14:00,shampoo,6,personal care
37,3/1/2021 14:00,pork,25,meat
38,3/1/2021 14:00,toilet paper,9,toileteries
39,3/1/2021 15:00,dish soap,29,detergents
40,3/1/2021 15:00,cookies,3,bakery
41,3/1/2021 15:00,cupcakes,3,bakery
42,3/1/2021 15:00,tea,2,beverages
43,3/1/2021 15:00,shaving cream,28,personal care
44,3/1/2021 15:00,chicken,23,meat
45,3/1/2021 16:00,pork,4,meat
46,3/1/2021 16:00,tea,6,beverages
47,3/1/2021 16:00,toilet paper,25,toileteries
48,3/1/2021 16:00,dish soap,29,detergents
49,3/1/2021 16:00,pork,30,meat
50,3/1/2021 16:00,tea,4,beverages
51,3/1/2021 16:00,bananas,2,fruits
52,3/1/2021 17:00,chicken,9,meat
53,3/1/2021 17:00,pork,27,meat
54,3/1/2021 17:00,ketchup,23,canned food
55,3/1/2021 17:00,soda,3,beverages
56,3/1/2021 17:00,chicken,28,meat
57,3/1/2021 17:00,hand soap,14,personal care
58,3/1/2021 17:00,hand soap,22,personal care
59,3/1/2021 17:00,loaves,2,bakery
60,3/1/2021 17:00,dish soap,27,detergents
61,3/1/2021 17:00,beef,24,meat
62,3/1/2021 17:00,buns,18,bakery
63,3/1/2021 17:00,tea,3,beverages
64,3/1/2021 17:00,cookies,1,bakery
